;Time;Fy;Model
650;650,0;27,99;29,78654093890794
651;651,0;29,57;29,813919888471005
652;652,0;28,61;29,84129883803407
653;653,0;29,73;29,868677787597136
654;654,0;29,37;29,896056737160205
655;655,0;30,09;29,92343568672327
656;656,0;29,06;29,950814636286335
657;657,0;29,52;29,9781935858494
658;658,0;29,13;30,005572535412465
659;659,0;30,15;30,032951484975534
660;660,0;28,91;30,0603304345386
661;661,0;29,7;30,087709384101665
662;662,0;28,67;30,11508833366473
663;663,0;30,15;30,142467283227795
664;664,0;30,05;30,169846232790864
665;665,0;29,52;30,19722518235393
666;666,0;29,85;30,224604131916994
667;667,0;30,28;30,25198308148006
668;668,0;31,03;30,279362031043128
669;669,0;29,06;30,306740980606193
670;670,0;30,07;30,33411993016926
671;671,0;29,5;30,361498879732324
672;672,0;31,67;30,38887782929539
673;673,0;30,01;30,416256778858457
674;674,0;30,6;30,443635728421523
675;675,0;31,04;30,471014677984588
676;676,0;29,95;30,498393627547653
677;677,0;31,64;30,52577257711072
678;678,0;30,02;30,553151526673787
679;679,0;31,18;30,580530476236852
680;680,0;31,01;30,607909425799917
681;681,0;32,53;30,635288375362983
682;682,0;30,43;30,66266732492605
683;683,0;30,91;30,690046274489116
684;684,0;30,61;30,71742522405218
685;685,0;30,73;30,744804173615247
686;686,0;31,66;30,772183123178312
687;687,0;29,86;30,79956207274138
688;688,0;30,1;30,826941022304446
689;689,0;30,92;30,85431997186751
690;690,0;32,07;30,881698921430576
691;691,0;30,55;30,90907787099364
692;692,0;31,66;30,93645682055671
693;693,0;30,64;30,963835770119776
694;694,0;31,06;30,99121471968284
695;695,0;31,0;31,018593669245906
696;696,0;30,84;31,045972618808975
697;697,0;30,53;31,07335156837204
698;698,0;30,48;31,100730517935105
699;699,0;31,99;31,12810946749817
700;700,0;31,2;31,155488417061235
701;701,0;31,74;31,182867366624304
702;702,0;30,06;31,21024631618737
703;703,0;31,3;31,237625265750435
704;704,0;31,01;31,2650042153135
705;705,0;32,39;31,292383164876565
706;706,0;30,73;31,319762114439634
707;707,0;31,29;31,3471410640027
708;708,0;31,58;31,374520013565764
709;709,0;32,04;31,40189896312883
710;710,0;31,68;31,429277912691898
711;711,0;31,51;31,456656862254963
712;712,0;32,42;31,48403581181803
713;713,0;31,44;31,511414761381094
714;714,0;30,92;31,53879371094416
715;715,0;31,53;31,566172660507227
716;716,0;32,38;31,593551610070293
717;717,0;31,82;31,620930559633358
718;718,0;31,23;31,648309509196423
